Symbol,ER_Rank,ER_Rank_Sharpe,Score_Rank,Score_Rank_Sharpe,Name,Type,Quantity,Bought_Price,Current_Price,Equity,Percent_Change,Equity_Change,Total_Return,PE_Ratio,Portfolio_Percentage
KNX,4.0,23.0,1.0,34.0,Knight-Swift Transportation,stock,37.0,44.0948,44.47,1645.39,0.85,13.8824,0.008508939829639765,43.251232,2.43
LMND,1.0,623.0,3.0,501.0,Lemonade,stock,521.0,53.4595,52.65,27430.65,-1.51,-421.7495,-0.015142303987130443,-18.74,40.51
ONON,203.0,2.0,26.0,1.0,On Holding,stock,25.0,45.0044,45.23,1130.75,0.5,5.64,0.005012843188665998,96.572408,1.67
BIRK,123.0,153.0,41.0,80.0,Birkenstock Holding,stock,100.0,52.1691,52.13,5213.0,-0.07,-3.91,-0.0007494858067322935,29.022381,7.7
XPEV,42.0,596.0,403.0,621.0,XPeng,adr,100.0,23.0154,21.0799,2107.99,-8.41,-193.55,-0.08409586624607876,-33.54,3.11
MSFT,466.0,422.0,461.0,457.0,Microsoft,stock,11.0,506.7991,506.8,5574.8,0.0,0.0099,1.7758516145775617e-06,37.360076,8.23
BABA,737.0,435.0,535.0,375.0,Alibaba,adr,2.0,135.29,135.0401,270.08,-0.18,-0.4998,-0.0018471431739226602,15.658517,0.4
PDD,550.0,605.0,558.0,593.0,PDD Holdings,adr,2.0,120.535,120.5996,241.2,0.05,0.1292,0.0005359439167046805,13.108426,0.36
ASPN,814.0,746.0,758.0,783.0,Aspen Aerogels,stock,100.0,7.0691,6.84,684.0,-3.24,-22.91,-0.03240865173784497,-1.79,1.01
DOX,1085.0,883.0,782.0,989.0,Amdocs,stock,1.0,87.23,84.1,84.1,-3.59,-3.13,-0.035882150636249104,17.29106,0.12
GDS,1004.0,998.0,1039.0,1062.0,GDS Holdings,adr,5.0,35.1942,34.9,174.5,-0.84,-1.471,-0.008359331935375816,2383.448276,0.26
APLD,1146.0,1164.0,1118.0,1069.0,Applied Digital,stock,50.0,16.7916,15.9,795.0,-5.31,-44.58,-0.0530979775602086,-14.57,1.17
