period,er,Date,Symbol
1,2.567734065244163e-05,2025-09-19,A
2,-4.3840570022412566e-05,2025-09-19,A
3,-0.0006463217208794676,2025-09-19,A
4,-0.0015170076996165636,2025-09-19,A
5,-0.006425189971441706,2025-09-19,A
6,-0.0021648023853665464,2025-09-19,A
7,-0.002865690458492791,2025-09-19,A
8,0.003004216130930413,2025-09-19,A
9,0.0015492041287647608,2025-09-19,A
10,-0.003088124039455557,2025-09-19,A
11,0.00557345518166397,2025-09-19,A
12,-0.0027501802474579457,2025-09-19,A
13,-0.0020751102165489778,2025-09-19,A
14,-0.003177225208541652,2025-09-19,A
1,0.0011160165221007741,2025-09-19,AA
2,0.000873688641879382,2025-09-19,AA
3,-0.0018461021696354694,2025-09-19,AA
4,2.3114298948792564e-06,2025-09-19,AA
5,-0.005951257331153042,2025-09-19,AA
6,-0.0033476790051614256,2025-09-19,AA
7,-0.0005237479365456916,2025-09-19,AA
8,0.007192109371756831,2025-09-19,AA
9,0.003321573126904856,2025-09-19,AA
10,1.7462503134854556e-05,2025-09-19,AA
11,0.005650520759994744,2025-09-19,AA
12,-0.0005927615624557651,2025-09-19,AA
13,0.0018322793987951618,2025-09-19,AA
14,0.0021210245739262485,2025-09-19,AA
1,0.00037146788388511804,2025-09-19,AAL
2,0.0016723197938580668,2025-09-19,AAL
3,-0.002182412424072806,2025-09-19,AAL
4,0.0009675404602633685,2025-09-19,AAL
5,-0.0073270448247032965,2025-09-19,AAL
6,-0.00252608638242515,2025-09-19,AAL
7,-0.0025586793998527376,2025-09-19,AAL
8,0.005695821719604447,2025-09-19,AAL
9,0.00234764653987639,2025-09-19,AAL
10,-0.0063033689375992605,2025-09-19,AAL
11,0.0005177243878249512,2025-09-19,AAL
12,-0.0018125686892692056,2025-09-19,AAL
13,-0.001377916361493022,2025-09-19,AAL
14,-0.0027531929929966027,2025-09-19,AAL
1,-0.001054234252964118,2025-09-19,AAP
2,-0.005803169256811243,2025-09-19,AAP
3,0.0038927782384573523,2025-09-19,AAP
4,0.0071737887266380765,2025-09-19,AAP
5,0.003846837064232122,2025-09-19,AAP
6,0.011452381639931366,2025-09-19,AAP
7,0.005531366136873439,2025-09-19,AAP
8,0.002407640251021164,2025-09-19,AAP
9,0.004214556802878157,2025-09-19,AAP
10,0.00520199315106979,2025-09-19,AAP
11,0.004246483405474987,2025-09-19,AAP
12,0.007370131370632132,2025-09-19,AAP
13,0.012197132212258485,2025-09-19,AAP
14,0.005233172376122087,2025-09-19,AAP
1,0.0010856543435161902,2025-09-19,AAPL
2,0.002112194187393093,2025-09-19,AAPL
3,-0.002207997792279393,2025-09-19,AAPL
4,-0.0017792233408220187,2025-09-19,AAPL
5,-6.0582551531665245e-05,2025-09-19,AAPL
6,-0.001971041613991994,2025-09-19,AAPL
7,0.0006289504136673602,2025-09-19,AAPL
8,0.0009158285388237595,2025-09-19,AAPL
9,0.003411572886065931,2025-09-19,AAPL
10,-8.646006063277195e-05,2025-09-19,AAPL
11,0.005511458809179173,2025-09-19,AAPL
12,-0.0016310942529581124,2025-09-19,AAPL
13,0.0010018416872407002,2025-09-19,AAPL
14,0.006034477319635659,2025-09-19,AAPL
1,0.0012141938201383263,2025-09-19,ABBV
2,0.0032519306535978934,2025-09-19,ABBV
3,-0.0013089625701444578,2025-09-19,ABBV
4,-0.0015515398918036292,2025-09-19,ABBV
5,0.0003707205653653528,2025-09-19,ABBV
6,-0.0007726536158294983,2025-09-19,ABBV
7,0.0007632647766091326,2025-09-19,ABBV
8,0.0013298957064073575,2025-09-19,ABBV
9,0.002080323530172912,2025-09-19,ABBV
10,-6.0041573130577316e-05,2025-09-19,ABBV
11,0.005043207122491568,2025-09-19,ABBV
12,-0.0016841516547686844,2025-09-19,ABBV
13,0.0010784889000846135,2025-09-19,ABBV
14,0.0051646514387607345,2025-09-19,ABBV
1,-0.001446041707451243,2025-09-19,ABCL
2,-0.0024626415269714706,2025-09-19,ABCL
3,0.001803642924853715,2025-09-19,ABCL
4,0.0035065580524941365,2025-09-19,ABCL
5,0.010776533563265992,2025-09-19,ABCL
6,0.011272987865964765,2025-09-19,ABCL
7,0.013096939487866891,2025-09-19,ABCL
8,-0.0007238211975154094,2025-09-19,ABCL
9,0.008887067228515594,2025-09-19,ABCL
10,-0.002081730802952,2025-09-19,ABCL
11,0.00925658078128869,2025-09-19,ABCL
12,0.006475411693976334,2025-09-19,ABCL
13,0.01746253440791016,2025-09-19,ABCL
14,0.012225651159034723,2025-09-19,ABCL
1,0.0007112849902445815,2025-09-19,ABEV
2,-0.0002654005886434111,2025-09-19,ABEV
3,-0.0037088756841273415,2025-09-19,ABEV
4,-0.0007924845340977341,2025-09-19,ABEV
5,-0.00018160722770266995,2025-09-19,ABEV
6,-0.0014425945003160995,2025-09-19,ABEV
7,-0.002891959724504992,2025-09-19,ABEV
8,0.006067208275208142,2025-09-19,ABEV
9,0.004706660675383107,2025-09-19,ABEV
10,-0.0016640836478376078,2025-09-19,ABEV
11,0.0017332336805708322,2025-09-19,ABEV
12,-0.0006587839850187809,2025-09-19,ABEV
13,-0.0006919723589926959,2025-09-19,ABEV
14,0.0006548485303921013,2025-09-19,ABEV
1,-0.001894904104812107,2025-09-19,ABM
2,-0.005675835658856282,2025-09-19,ABM
3,0.005157242268507427,2025-09-19,ABM
4,0.006392206988848873,2025-09-19,ABM
5,0.007825571962658252,2025-09-19,ABM
6,0.012804833477425363,2025-09-19,ABM
7,0.006994869591344647,2025-09-19,ABM
8,0.0015622305506795603,2025-09-19,ABM
9,0.00350384965310244,2025-09-19,ABM
10,0.006118836563489505,2025-09-19,ABM
11,0.006113536834578502,2025-09-19,ABM
12,0.004744528097749981,2025-09-19,ABM
13,0.008724892966987214,2025-09-19,ABM
14,0.010309297397262013,2025-09-19,ABM
1,-0.0010258722451535933,2025-09-19,ABNB
2,0.00347669194417792,2025-09-19,ABNB
3,-0.0021036024546599794,2025-09-19,ABNB
4,-0.001663678746142977,2025-09-19,ABNB
5,-0.0020617450166653473,2025-09-19,ABNB
6,0.0005880628467504577,2025-09-19,ABNB
7,5.7142206688627154e-05,2025-09-19,ABNB
8,-0.0009203551029986511,2025-09-19,ABNB
9,0.0008959325496153465,2025-09-19,ABNB
10,-0.0009598113055903955,2025-09-19,ABNB
11,0.006900417988181424,2025-09-19,ABNB
12,-0.002434014430567401,2025-09-19,ABNB
13,0.0003995008707397749,2025-09-19,ABNB
14,0.00636123737519632,2025-09-19,ABNB
1,-0.0014532687619934245,2025-09-19,ABR
2,-0.003816409908109607,2025-09-19,ABR
3,6.222778227057294e-05,2025-09-19,ABR
4,0.002494014260880862,2025-09-19,ABR
5,0.004272809771174567,2025-09-19,ABR
6,0.010633698538274654,2025-09-19,ABR
7,0.003962296532107855,2025-09-19,ABR
8,0.002585323276003,2025-09-19,ABR
9,7.033433096530216e-05,2025-09-19,ABR
10,0.0004261551364822327,2025-09-19,ABR
11,0.010124351986461442,2025-09-19,ABR
12,0.004889335814588338,2025-09-19,ABR
13,0.009054321814957618,2025-09-19,ABR
14,0.0041819720678473934,2025-09-19,ABR
1,0.0009095428377254273,2025-09-19,ABT
2,0.002657951994445835,2025-09-19,ABT
3,-0.0023173542381438625,2025-09-19,ABT
4,-0.0020563433295548964,2025-09-19,ABT
5,0.000355674621513408,2025-09-19,ABT
6,-0.001866335025648559,2025-09-19,ABT
7,0.0016272661874778226,2025-09-19,ABT
8,0.0005930124502707198,2025-09-19,ABT
9,0.0018728795252027947,2025-09-19,ABT
10,-2.692124650822292e-05,2025-09-19,ABT
11,0.006371643869062223,2025-09-19,ABT
12,-0.0010251030693500353,2025-09-19,ABT
13,0.001379850685416063,2025-09-19,ABT
14,0.00718719365530205,2025-09-19,ABT
1,-0.0014055061469760136,2025-09-19,ACAD
2,-0.005433895705654479,2025-09-19,ACAD
3,0.005950221096349784,2025-09-19,ACAD
4,0.007086397820379784,2025-09-19,ACAD
5,0.006971505815513743,2025-09-19,ACAD
6,0.008119986343282277,2025-09-19,ACAD
7,0.008452085592031325,2025-09-19,ACAD
8,0.003859771260585097,2025-09-19,ACAD
9,0.00857652603948647,2025-09-19,ACAD
10,0.007156186276097333,2025-09-19,ACAD
11,0.01218778785197999,2025-09-19,ACAD
12,0.006830124382028683,2025-09-19,ACAD
13,0.02151491275216111,2025-09-19,ACAD
14,0.0019295335636457635,2025-09-19,ACAD
1,-0.0005000222846727252,2025-09-19,ACGL
2,0.00030040862599620583,2025-09-19,ACGL
3,-0.0003077054210048745,2025-09-19,ACGL
4,-0.0007665469051507407,2025-09-19,ACGL
5,-0.004774687609356473,2025-09-19,ACGL
6,-0.0008850866200553495,2025-09-19,ACGL
7,-0.0008913519795692914,2025-09-19,ACGL
8,0.0038622608843731174,2025-09-19,ACGL
9,0.003547312953695985,2025-09-19,ACGL
10,-0.0016028056257763584,2025-09-19,ACGL
11,0.004496078423917686,2025-09-19,ACGL
12,0.0010228666246447184,2025-09-19,ACGL
13,-0.002596121837741331,2025-09-19,ACGL
14,0.00018501613412425186,2025-09-19,ACGL
1,-0.000245417858905154,2025-09-19,ACHR
2,-0.0066082344028096955,2025-09-19,ACHR
3,0.004718353339088665,2025-09-19,ACHR
4,0.004416590201464463,2025-09-19,ACHR
5,0.005537717221528118,2025-09-19,ACHR
6,0.007418412237330411,2025-09-19,ACHR
7,0.008634227773397035,2025-09-19,ACHR
8,0.0015692993407280587,2025-09-19,ACHR
9,-0.00015819305467277775,2025-09-19,ACHR
10,-0.0012793517843443462,2025-09-19,ACHR
11,0.003099598508833019,2025-09-19,ACHR
12,0.008117802348230186,2025-09-19,ACHR
13,0.009988292180940266,2025-09-19,ACHR
14,0.007560488105942809,2025-09-19,ACHR
1,0.0013488568405082353,2025-09-19,ACI
2,0.002633156170871604,2025-09-19,ACI
3,-0.0016941835926494086,2025-09-19,ACI
4,0.002854512037318781,2025-09-19,ACI
5,-0.004175259780075879,2025-09-19,ACI
6,-0.003333059693143893,2025-09-19,ACI
7,-0.004298138231548845,2025-09-19,ACI
8,0.008314333753523336,2025-09-19,ACI
9,0.0023293190458548102,2025-09-19,ACI
10,-0.0005987034264881425,2025-09-19,ACI
11,0.0021194471769160556,2025-09-19,ACI
12,-0.0011118420394507587,2025-09-19,ACI
13,-0.0007850771507441639,2025-09-19,ACI
14,0.0033240267805713856,2025-09-19,ACI
1,-0.0024632407291630873,2025-09-19,ACMR
2,-0.004507234589951305,2025-09-19,ACMR
3,0.0038351277643688102,2025-09-19,ACMR
4,0.000595608802437795,2025-09-19,ACMR
5,0.006099633766263567,2025-09-19,ACMR
6,0.012141690123776194,2025-09-19,ACMR
7,0.010704913958422246,2025-09-19,ACMR
8,0.001868835596685277,2025-09-19,ACMR
9,0.009961347155459812,2025-09-19,ACMR
10,-0.0051997410718753875,2025-09-19,ACMR
11,0.0022858886333749235,2025-09-19,ACMR
12,0.006052828327153408,2025-09-19,ACMR
13,0.0034662164751848583,2025-09-19,ACMR
14,0.007711884680656836,2025-09-19,ACMR
1,0.0008676815111736702,2025-09-19,ACN
2,0.004544484548781823,2025-09-19,ACN
3,-0.0007735170391388403,2025-09-19,ACN
4,-0.0012877499305416205,2025-09-19,ACN
5,0.0005387178588674388,2025-09-19,ACN
6,-0.0010644849908518958,2025-09-19,ACN
7,0.0007497817122726826,2025-09-19,ACN
8,-0.0002320016117771121,2025-09-19,ACN
9,0.0008508302751176416,2025-09-19,ACN
10,6.622308796707086e-05,2025-09-19,ACN
11,0.0060385925616031864,2025-09-19,ACN
12,-0.0024788818159512008,2025-09-19,ACN
13,-0.00012550618382294789,2025-09-19,ACN
14,0.0030825596667462722,2025-09-19,ACN
1,-0.0012506580500862173,2025-09-19,ACVA
2,-0.005086839446923878,2025-09-19,ACVA
3,0.005783776040267655,2025-09-19,ACVA
4,0.00669014145300049,2025-09-19,ACVA
5,0.007514602715855729,2025-09-19,ACVA
6,0.0051687571168415325,2025-09-19,ACVA
7,0.008237651788192652,2025-09-19,ACVA
8,0.009011298877391778,2025-09-19,ACVA
9,0.006670573756456148,2025-09-19,ACVA
10,0.0030521292058537683,2025-09-19,ACVA
11,0.009578608316832028,2025-09-19,ACVA
12,0.00570954679114925,2025-09-19,ACVA
13,0.006577937755317158,2025-09-19,ACVA
