period,er,Date,Symbol
1,-0.002013758157020303,2026-07-23,A
2,0.00205279084720819,2026-07-23,A
3,-0.001294294144359988,2026-07-23,A
4,-0.00021445423392643344,2026-07-23,A
5,0.0006121119374452866,2026-07-23,A
6,-0.0024230414518158295,2026-07-23,A
7,-0.001122497114179578,2026-07-23,A
8,-0.0024222528979760682,2026-07-23,A
9,-3.790249945567467e-05,2026-07-23,A
10,-0.007374361401487091,2026-07-23,A
11,-0.0029746283979400464,2026-07-23,A
12,-0.0025051944119431433,2026-07-23,A
13,-0.008613231549590377,2026-07-23,A
14,-0.0013163845755937585,2026-07-23,A
1,0.0029616492337912513,2026-07-23,AA
2,0.0036954941549908523,2026-07-23,AA
3,0.0006724211981127518,2026-07-23,AA
4,-0.0017525900203753772,2026-07-23,AA
5,0.006495611683285223,2026-07-23,AA
6,0.005567519669138017,2026-07-23,AA
7,0.006095218055233811,2026-07-23,AA
8,0.010526497263008633,2026-07-23,AA
9,0.010269856366049431,2026-07-23,AA
10,0.025049292687519334,2026-07-23,AA
11,0.011323054915225533,2026-07-23,AA
12,0.01722882280162706,2026-07-23,AA
13,0.03764520111102264,2026-07-23,AA
14,0.016734535683380423,2026-07-23,AA
1,0.0022056765173232838,2026-07-23,AAL
2,0.0003737751780896131,2026-07-23,AAL
3,-0.0048298194019476305,2026-07-23,AAL
4,-0.0015199682151659677,2026-07-23,AAL
5,0.008941194623763206,2026-07-23,AAL
6,0.002460060130851532,2026-07-23,AAL
7,0.007893328393343542,2026-07-23,AAL
8,0.009789178572755365,2026-07-23,AAL
9,0.0017126857551832495,2026-07-23,AAL
10,0.016833464763052506,2026-07-23,AAL
11,0.01562636762955799,2026-07-23,AAL
12,0.014344363332798812,2026-07-23,AAL
13,0.04205527769088291,2026-07-23,AAL
14,0.02182437680746056,2026-07-23,AAL
1,0.0026738418419366672,2026-07-23,AAP
2,0.0006287192170628822,2026-07-23,AAP
3,-0.0014640692561955593,2026-07-23,AAP
4,-0.001678472696470802,2026-07-23,AAP
5,0.0025943806854175112,2026-07-23,AAP
6,0.001013995077944582,2026-07-23,AAP
7,0.003789211945555233,2026-07-23,AAP
8,0.012014721306166258,2026-07-23,AAP
9,0.004884702554293549,2026-07-23,AAP
10,0.026039619210229795,2026-07-23,AAP
11,0.012752108753712127,2026-07-23,AAP
12,0.016638243310979593,2026-07-23,AAP
13,0.035341341675706996,2026-07-23,AAP
14,0.021426468002059263,2026-07-23,AAP
1,-0.0012820748568411174,2026-07-23,AAPL
